SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
A,0.234,2-5/8,3-7/8,BB74201
B,0.238,2-3/4,4,BB74202
C,0.242,2-3/4,4,BB74203
D,0.246,2-3/4,4,BB74204
E,0.25,2-3/4,4,BB74205
F,0.257,2-7/8,4-1/8,BB74206
G,0.261,2-7/8,4-1/8,BB74207
H,0.266,2-7/8,4-1/8,BB74208
I,0.272,2-7/8,4-1/8,BB74209
J,0.277,2-7/8,4-1/8,BB74210
K,0.281,2-15/16,4-1/4,BB74211
L,0.29,2-15/16,4-1/4,BB74212
M,0.295,3-1/16,4-3/8,BB74213
N,0.302,3-1/16,4-3/8,BB74214
O,0.316,3-3/16,4-1/2,BB74215
P,0.323,3-5/16,4-5/8,BB74216
Q,0.332,3-7/16,4-3/4,BB74217
R,0.339,3-7/16,4-3/4,BB74218
S,0.348,3-1/2,4-7/8,BB74219
T,0.358,3-1/2,4-7/8,BB74220
U,0.368,3-5/8,5,BB74221
V,0.377,3-5/8,5,BB74222
W,0.386,3-3/4,5-1/8,BB74223
X,0.397,3-3/4,5-1/8,BB74224
Y,0.404,3-7/8,5-1/4,BB74225
Z,0.413,3-7/8,5-1/4,BB74226
