SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ECO PRO STOCK #
1/16,0.0625,7/8,1-7/8,S250101
5/64,0.0781,1,2,S250102
3/32,0.0938,1-1/4,2-1/4,S250103
7/64,0.1094,1-1/2,2-5/8,S250104
1/8,0.125,1-5/8,2-3/4,S250105
9/64,0.1406,1-3/4,2-7/8,S250106
5/32,0.1562,2,3-1/8,S250107
11/64,0.1719,2-1/8,3-1/4,S250108
3/16,0.1875,2-5/16,3-1/2,S250109
A 13/64,0.2031,2-7/16,3-5/8,S250110
7/32,0.2188,2-1/2,3-3/4,S250111
15/64,0.2344,2-5/8,3-7/8,S250112
1/4,0.25,2-3/4,4,S250113
17/64,0.2656,2-7/8,4-1/8,S250114
9/32,0.2812,2-15/16,4-1/4,S250115
19/64,0.2969,3-1/16,4-3/8,S250116
5/16,0.3125,3-3/16,4-1/2,S250117
21/64,0.3281,3-5/16,4-5/8,S250118
11/32,0.3438,3-7/16,4-3/4,S250119
23/64,0.3594,3-1/2,4-7/8,S250120
3/8,0.375,3-5/8,5,S250121
25/64,0.3906,3-3/4,5-1/8,S250122
13/32,0.4062,3-7/8,5-1/4,S250123
27/64,0.4219,3-15/16,5-3/8,S250124
7/16,0.4375,4-1/16,5-1/2,S250125
29/64,0.4531,4-3/16,5-5/8,S250126
15/32,0.4688,4-5/16,5-3/4,S250127
31/64,0.4844,4-3/8,5-7/8,S250128
1/2,0.5,4-1/2,6,S250129
